,Course,Education Level,Institutions,Year,GM (%)
7589,SARJANA MUDA SAINS GUNAAN (TEKNOLOGI MARITIM) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA TERENGGANU,2023,82.4
7590,SARJANA MUDA SYARIAH (SAINS POLITIK ISLAM),Ijazah pertama,UNIVERSITI MALAYA,2023,82.4
7591,SARJANA SAINS PENGURUSAN REKOD DAN DOKUMEN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,82.4
7592,IJAZAH SARJANA MUDA KEJURUTERAAN MIKROELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA PERLIS,2022,82.3
7593,SARJANA MUDA KEJURUTERAAN ELEKTRONIK DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,82.2
7594,BACHELOR OF COMMUNICATION (HONS) IN CORPORATE COMMUNICATION,Ijazah pertama,UNIVERSITI POLY-TECH MALAYSIA,2022,82.1
7595,BACHELOR OF COMPUTER SCIENCE,Ijazah pertama,UOW MALAYSIA KDU UNIVERSITY COLLEGE,2022,82.1
7596,BACHELOR OF ELECTRICAL AND ELECTRONICS ENGINEERING (HONS),Ijazah pertama,XIAMEN UNIVERSITY MALAYSIA,2023,82.1
7597,SARJANA MUDA PENGURUSAN MAJLIS (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,82.1
7598,SARJANA MUDA PENGURUSAN PELANCONGAN (KEPUJIAN) (PENGURUSAN ACARA),Ijazah pertama,TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,2022,82.1
7599,SARJANA MUDA SERAMIK PERINDUSTRIAN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,82.1
7600,SARJANA UNDANG-UNDANG,Sarjana,UNIVERSITI MALAYA,2022,82.1
7601,BACHELOR OF BUSINESS ADMINISTRATION (HONS),Ijazah pertama,INFRASTRUCTURE UNIVERSITY KUALA LUMPUR,2022,82
7602,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,Ijazah pertama,HERIOT-WATT UNIVERSITY MALAYSIA,2023,82
7603,SARJANA MUDA SENI REKA FESYEN (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,82
7604,IJAZAH SARJANA MUDA KEWANGAN ISLAM (PERBANKAN) (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM SELANGOR,2023,81.9
7605,BACHELOR OF ARTS (HONOURS) IN MEDIA PRODUCTION,Ijazah pertama,UOW MALAYSIA KDU PENANG UNIVERSITY COLLEGE,2023,81.8
7606,BACHELOR OF ARTS IN 3D ANIMATION AND DIGITAL MEDIA (HONOURS),Ijazah pertama,UNIVERSITI POLY-TECH MALAYSIA,2022,81.8
7607,BACHELOR OF BUSINESS (HONS) FINANCE,Ijazah pertama,INTI INTERNATIONAL UNIVERSITY,2023,81.8
7608,BACHELOR OF BUSINESS ADMINISTRATION (HONS) INTERNATIONAL BUSINESS IN COLLABORATION WITH TWINTECH INTERNATIONAL UNIVERSITY COLLEGE OF TECHNOLOGY,Ijazah pertama,KOLEJ MCS,2023,81.8
7609,"BACHELOR OF COMMERCE (ACCOUNTANCY AND FINANCE) IN COLLABORATION WITH UNIVERSITY OF WOLLONGONG, AUSTRALIA",Ijazah pertama,KOLEJ ANTARABANGSA INTI SUBANG,2022,81.8
7610,BACHELOR OF COMPUTER SCIENCE (HONS),Ijazah pertama,UNIVERSITI TEKNOLOGI SARAWAK,2023,81.8
7611,BACHELOR OF CORPORATE ADMINISTRATION (HONOURS),Ijazah pertama,UNIVERSITI POLY-TECH MALAYSIA,2022,81.8
7612,BACHELOR OF EDUCATION (HONS) TEACHING ENGLISH AS A SECOND LANGUAGE (TESL) WITH MULTIMEDIA,Ijazah pertama,UNIVERSITI ISLAM SELANGOR,2022,81.8
7613,BACHELOR OF ENGINEERING IN DIGITAL MEDIA TECHNOLOGY (HONOURS),Ijazah pertama,XIAMEN UNIVERSITY MALAYSIA,2023,81.8
7614,BACHELOR OF INFORMATION TECHNOLOGY (HONS) COMMUNICATIONS AND NETWORKING,Ijazah pertama,UNIVERSITI TUNKU ABDUL RAHMAN,2023,81.8
7615,BACHELOR OF MECHANICAL ENGINEERING TECHNOLOGY (INDUSTRIAL DESIGN) WITH HONOURS,Ijazah pertama,DRB-HICOM UNIVERSITY OF AUTOMOTIVE MALAYSIA,2022,81.8
7616,BACHELOR OF OCCUPATIONAL SAFETY AND HEALTH (HONS),Ijazah pertama,CITY UNIVERSITY,2023,81.8
7617,BACHELOR OF PHYSIOTHERAPY (HONS),Ijazah pertama,UNIVERSITI TUNKU ABDUL RAHMAN,2022,81.8
7618,BACHELOR OF SCIENCE WITH HONOURS BUSINESS ECONOMICS AND FINANCE,Ijazah pertama,"UNIVERSITY OF NOTTINGHAM, MALAYSIA CAMPUS",2022,81.8
7619,BACHELOR OF TRADITIONAL CHINESE MEDICINE (HONS),Ijazah pertama,INTI INTERNATIONAL UNIVERSITY,2022,81.8
7620,IJAZAH SARJANA EKONOMI PERNIAGAAN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,81.8
7621,IJAZAH SARJANA MUDA INDUSTRI MULTIMEDIA (KEPUJIAN),Ijazah pertama,UNIVERSITI SELANGOR,2023,81.8
7622,IJAZAH SARJANA MUDA TEKNOLOGI KEJURUTERAAN AERONAUTIK (PENERBANGAN PROFESIONAL) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2023,81.8
7623,MASTER OF BUSINESS ADMINISTRATION,Sarjana,UOW MALAYSIA KDU UNIVERSITY COLLEGE,2022,81.8
7624,MASTER OF BUSINESS INFORMATION SYSTEMS,Sarjana,MONASH UNIVERSITY MALAYSIA,2022,81.8
7625,SARJANA MUDA SAINS (KEPUJIAN) (SAINS TUMBUHAN GUNAAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2023,81.8
7626,SARJANA MUDA SENI MUZIK KOMPOSISI (KEPUJIAN),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,81.8
7627,SARJANA SAINS (KIMIA),Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,81.8
7628,SARJANA SAINS DALAM KESELAMATAN DAN KESIHATAN PEKERJAAN,Sarjana,UNIVERSITI MALAYSIA SARAWAK,2022,81.8
7629,SARJANA SAINS KIMIA,Sarjana,UNIVERSITI MALAYSIA TERENGGANU,2023,81.8
7630,SARJANA SASTERA (TERJEMAHAN UNTUK PROFESIONAL),Sarjana,UNIVERSITI SAINS MALAYSIA,2023,81.8
7631,BA (HONS) CONTEMPORARY MUSIC (AUDIO TECHNOLOGY),Ijazah pertama,SUNWAY UNIVERSITY,2022,81.6
7632,IJAZAH SARJANA MUDA SAINS SOSIAL DENGAN KEPUJIAN (KAJIAN KHIDMAT SOSIAL),Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2023,81.6
7633,SARJANA KOMUNIKASI MASSA,Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,81.6
7634,SARJANA MUDA PENGURUSAN INDUSTRI KREATIF (KEPUJIAN) PRODUKSI FILEM,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,81.6
7635,BACHELOR IN PHYSIOTHERAPY (HONS),Ijazah pertama,UNIVERSITY OF CYBERJAYA,2023,81.5
7636,BACHELOR OF BUSINESS (HONS) MARKETING,Ijazah pertama,INTI INTERNATIONAL UNIVERSITY,2023,81.5
7637,BACHELOR OF EARLY CHILDHOOD EDUCATION (HONS),Ijazah pertama,HELP UNIVERSITY,2023,81.5
7638,BACHELOR OF INFORMATION SYSTEMS (HONS) BUSINESS INFORMATION SYSTEMS,Ijazah pertama,UNIVERSITI TUNKU ABDUL RAHMAN,2022,81.5
7639,IJAZAH SARJANA MUDA SAINS SOSIAL DENGAN KEPUJIAN (SAINS POLITIK),Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,81.5
7640,SARJANA MUDA SAINS AGROTEKNOLOGI (KEPUJIAN) TEKNOLOGI HORTIKULTUR,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,81.5
7641,SARJANA MUDA SAINS BIOKESIHATAN,Ijazah pertama,UNIVERSITI MALAYA,2022,81.5
7642,SARJANA SAINS STATISTIK GUNAAN,Sarjana,UNIVERSITI TEKNOLOGI MARA,2022,81.5
7643,BACHELOR OF BUSINESS (ACCOUNTING) (HONS),Ijazah pertama,HELP UNIVERSITY,2022,81.4
7644,BACHELOR OF BUSINESS ADMINISTRATION (HONS),Ijazah pertama,UNIVERSITI MAHSA,2023,81.4
7645,SARJANA MUDA SAINS (KEPUJIAN) KIMIA (ANALISIS FORENSIK),Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2023,81.4
7646,"B.A HONS IN BUSINESS ADMINISTRATION, UNIVERSITY OF HERTFORDSHIRE",Ijazah pertama,INTI INTERNATIONAL COLLEGE PENANG,2022,81.3
7647,"BACHELOR OF ARTS (HONOURS) BUSINESS ADMINISTRATION 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UK",Ijazah pertama,KOLEJ ANTARABANGSA INTI SUBANG,2022,81.3
7648,BACHELOR OF ARTS (HONS) INTERNATIONAL BUSINESS MANAGEMENT,Ijazah pertama,FAME INTERNATIONAL COLLEGE,2022,81.3
7649,BACHELOR OF BUSINESS ADMINISTRATION (HONOURS) IN INTERNATIONAL BUSINESS,Ijazah pertama,INTERNATIONAL UNIVERSITY OF MALAYA-WALES,2022,81.3
7650,BACHELOR OF ENGINEERING IN SOFTWARE ENGINEERING (HONOURS),Ijazah pertama,XIAMEN UNIVERSITY MALAYSIA,2023,81.3
7651,BACHELOR OF MANAGEMENT (HONS),Ijazah pertama,UNITAR INTERNATIONAL UNIVERSITY,2022,81.3
7652,BACHELOR OF SCIENCE (HONS) SOFTWARE ENGINEERING,Ijazah pertama,UNIVERSITI TUNKU ABDUL RAHMAN,2022,81.3
7653,"BACHELOR OF SCIENCE WITH HONOURS FINANCE, ACCOUNTING AND MANAGEMENT",Ijazah pertama,"UNIVERSITY OF NOTTINGHAM, MALAYSIA CAMPUS",2022,81.3
7654,DOKTOR FALSAFAH,PhD,UNIVERSITI MALAYSIA SARAWAK,2022,81.3
7655,IJAZAH SARJANA MUDA PENDIDIKAN (PENDIDIKAN AWAL KANAK-KANAK) DENGAN KEPUJIAN SECARA KERJASAMA DENGAN UNIVERSITI PENDIDIKAN SULTAN IDRIS (UPSI),Ijazah pertama,KOLEJ RAUDHAH,2023,81.3
7656,IJAZAH SARJANA MUDA SAINS KEMANUSIAAN - KOMUNIKASI (KEPUJIAN),Ijazah pertama,UNIVERSITI ISLAM ANTARABANGSA MALAYSIA,2023,81.3
7657,SARJANA MUDA KOMUNIKASI (KEPUJIAN) KOMUNIKASI ANTARAPERSONAL,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,81.3
7658,SARJANA MUDA PSIKOLOGI DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI MALAYSIA SARAWAK,2022,81.3
7659,SARJANA MUDA SAINS GUNAAN (KEPUJIAN)(PERMODELAN MATEMATIK),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2023,81.3
7660,SARJANA MUDA UNDANG-UNDANG,Ijazah pertama,UNIVERSITI MALAYA,2023,81.3
7661,SARJANA SAINS SOSIAL (PSIKOLOGI INDUSTRI DAN ORGANISASI),Sarjana,UNIVERSITI KEBANGSAAN MALAYSIA,2023,81.3
7662,IJAZAH SARJANA MUDA BAHASA INGGERIS DENGAN KOMUNIKASI (KEPUJIAN),Ijazah pertama,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,81.1
7663,IJAZAH SARJANA MUDA SAINS(KEPUJIAN) SAINS AKUATIK,Ijazah pertama,UNIVERSITI SULTAN ZAINAL ABIDIN,2022,81.1
7664,SARJANA MUDA SAINS KOMPUTER (KEPUJIAN),Ijazah pertama,UNIVERSITI SAINS MALAYSIA,2022,81.1
7665,BACHELOR OF ACCOUNTING (HONS.),Ijazah pertama,UNIVERSITI TENAGA NASIONAL,2022,81
7666,"BACHELOR OF ARTS (HONOURS) BUSINESS, ACCOUNTING AND FINANCE",Ijazah pertama,FAME INTERNATIONAL COLLEGE,2022,81
7667,BACHELOR OF ARTS (HONOURS) IN ENGLISH STUDIES,Ijazah pertama,UNIVERSITI TERBUKA WAWASAN,2022,81
7668,BACHELOR OF ARTS IN JOURNALISM (HONOURS),Ijazah pertama,XIAMEN UNIVERSITY MALAYSIA,2022,81
7669,"BACHELOR OF COMMERCE (MARKETING) 3+0 COLLABORATION WITH UNIVERSITY OF WOLLONGONG, AUSTRALIA",Ijazah pertama,KOLEJ ANTARABANGSA INTI SUBANG,2022,81
7670,BACHELOR OF CULINARY ARTS MANAGEMENT (HONOURS),Ijazah pertama,KOLEJ UNIVERSITI BERJAYA,2022,81
7671,BACHELOR OF SCIENCE (HONOURS) ACCOUNTING AND FINANCE,Ijazah pertama,FIRST CITY UNIVERSITY COLLEGE,2022,81
7672,BACHELOR OF SCIENCE IN STATISTICAL DATA SCIENCE,Ijazah pertama,HERIOT-WATT UNIVERSITY MALAYSIA,2023,81
7673,IJAZAH SARJANA MUDA PENDIDIKAN VOKASIONAL (PEMESINAN AM) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI TUN HUSSEIN ONN MALAYSIA,2023,81
7674,IJAZAH SARJANA MUDA SASTERA DENGAN KEPUJIAN (PENGAJIAN BAHASA INGGERIS),Ijazah pertama,UNIVERSITI KEBANGSAAN MALAYSIA,2022,81
7675,SARJANA GASTRONOMI,Sarjana,UNIVERSITI TEKNOLOGI MARA,2023,81
7676,SARJANA MUDA SAINS BIOKIMIA,Ijazah pertama,UNIVERSITI MALAYA,2022,81
7677,SARJANA MUDA SYARIAH (FIQH DAN USUL),Ijazah pertama,UNIVERSITI MALAYA,2023,81
7678,SARJANA MUDA TEKNOLOGI MAKLUMAT (KEPUJIAN) KEJURUTERAAN SISTEM PINTAR,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,81
7679,BACHELOR OF SCIENCE (HONS) ACTUARIAL SCIENCE,Ijazah pertama,UNIVERSITI TUNKU ABDUL RAHMAN,2022,80.9
7680,BACHELOR OF SCIENCE (HONS) IN DIETETICS WITH NUTRITION,Ijazah pertama,INTERNATIONAL MEDICAL UNIVERSITY,2023,80.9
7681,IJAZAH SARJANA MUDA REKA BENTUK (PENGIKLANAN) DENGAN KEPUJIAN,Ijazah pertama,UNIVERSITI PENDIDIKAN SULTAN IDRIS,2022,80.9
7682,"BACHELOR OF ARTS (HONOURS) IN EVENT MANAGEMENT AND MARKETING 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UK",Ijazah pertama,INTI INTERNATIONAL COLLEGE PENANG,2022,80.8
7683,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEPUJIAN),Ijazah pertama,UNIVERSITI SULTAN AZLAN SHAH,2023,80.8
7684,SARJANA MUDA FILEM (KEPUJIAN) SINEMATOGRAFI,Ijazah pertama,UNIVERSITI TEKNOLOGI MARA,2022,80.8
7685,SARJANA MUDA KOMUNIKASI (KEPUJIAN) PENYIARAN,Ijazah pertama,TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY,2022,80.8
